,sentence,word_count,Sentiment_score,Sentiment_SIA
0,love echo,2,0.6369,Positive
1,loved,1,0.5994,Positive
2,playing game answer question correctly alexa wrong answer turn light,10,-0.3182,Negative
3,lot fun thing yr learns dinosaur control light play game category nice sound playing music,15,0.8519,Positive
4,music,1,0.0,Neutral
5,received echo gift needed bluetooth play music easily accessible smart speaker cant wait,13,0.8555,Positive
6,cell phone feature i pad great alarm deaf hear alarm bedroom living room reason her it fun random question hear response smart bon politics,24,0.743,Positive
7,ive purchased working room house feature offer specifi ly playing music echo controlling light house,15,0.6597,Positive
8,great,1,0.6249,Positive
9,love ive listened song havent heard childhood news weather great,10,0.8519,Positive
10,year dad talk constantly,4,0.0,Neutral
11,love learning knew thing evey day figuring work easy understand laugh time,12,0.8934,Positive
12,purchased mother knee problem fast did she enjoys little big thing do alexa play song time cook,17,0.4588,Positive
13,love love love,3,0.9274,Positive
14,expected,1,0.0,Neutral
15,love wife hate,3,0.128,Positive
16,happy purchase great speaker easy set,6,0.8934,Positive
17,alexa couple day lot fun toy household member learn featues benefit,11,0.743,Positive
18,love size generation echo little improvement sound,7,0.785,Positive
19,original echo shorter greater fabric color choice volume ring top plus minus button big deal ring comforting standard usb charger port previous round pin guess sound work answer alexa echo computer,31,0.8074,Positive
20,love echo good music sound playing alexa understands command difficult time find specific playlist song spot if y good amazon music lacking major program,24,0.875,Positive
21,love alexa play music play radio itunes play podcasts any pod set reminder listen flash briefing news weather morning rely custom list voice control volume continue find uses sometimes bit frustrating alexa doesnt understand,34,0.8176,Positive
22,set day adding smart device speaker great playing music size stationed kitchen counter intrusive,14,0.8225,Positive
23,love play sleep sound,4,0.765,Positive
24,second unit bedroom expecting sound improved didnt difference big improvement st generation,12,0.1581,Positive
25,amazing product,2,0.5859,Positive
26,love echo easy operate load fun it advertised play favorite tune test alex as knowledge,15,0.9413,Positive
27,sound great love,3,0.8519,Positive
28,fun item play hard time answering question better,8,0.802,Positive
29,,0,0.0,Neutral
30,learning capabilities but pretty pretty pretty good,7,0.9568,Positive
31,,0,0.0,Neutral
32,work learning command unique owner user alexa learn tas has birthday alexa learn definition fine great,16,0.7096,Positive
33,speaker sound pretty good small setup pretty easy bought reason rate instruction synching music unit ive correctly sync primary motivation purchasing multiple unit,23,0.9274,Positive
34,device awesome,2,0.6249,Positive
35,bought compare speaker quality generation speaker sound better ship daughter fact generation chargeable base bought mobile better sound,18,0.7003,Positive
36,love echo learning thing follow instruction included package great u tube,11,0.8519,Positive
37,speaker better st generation echo,5,0.4404,Positive
38,thing cool cool,3,0.5574,Positive
39,digital assistant good review speaker good cheap price prime day fun play alarm clock going place ended echo havent definitely it what best number device connect purchase smart plug connect lamp alexa turn light,34,0.933,Positive
40,husband like listen music knew capability,6,0.3612,Positive
41,android allow alexa connect fortunately sister apple cell hour tech support fixed glitch running,14,0.5574,Positive
42,good,1,0.4404,Positive
43,play broadway camelot ne group camelot,6,0.34,Positive
44,great,1,0.6249,Positive
45,satisfied echo alexa control light family room wife listen jimmy buffet alexa,12,0.4215,Positive
46,siri fact siri answer accurately alexa dont real household good bargain prime day deal,14,-0.1546,Negative
47,love echo learning thing work ton fun,7,0.8176,Positive
48,love,1,0.6369,Positive
49,apple play specific list music amazon spot if y plus prime etc account pay play music star reason,18,0.6249,Positive
50,excelente lo unico e esta en espaol,7,0.0,Neutral
51,learning echo great sound better expecting,6,0.7906,Positive
52,work expect good sound quality considering price sale feature,9,0.4404,Positive
53,sound echo generation phenomenal mention love alexa helpful,8,0.7906,Positive
54,google better,2,0.4404,Positive
55,play learn,2,0.34,Positive
56,work advertised easy setup learning,5,0.4404,Positive
57,great sound easy set,4,0.7906,Positive
58,love alexa bought friend,4,0.8126,Positive
59,love echo purchased company husband alexa great tell joke play favorite song,12,0.9423,Positive
60,,0,0.0,Neutral
61,love listen music easily learning feature,6,0.765,Positive
62,device thing overview,3,0.0,Neutral
63,love built hub,3,0.6369,Positive
64,play music work wonderfully thing amazon tip help,8,0.8658,Positive
65,easy set,2,0.4404,Positive
66,fast response amazing clear concise answer sound quality fantastic alexia us de echo full extent,15,0.875,Positive
67,need na nana,3,0.0,Neutral
68,expected,1,0.0,Neutral
69,love echo work dont smart speak function good,8,0.7043,Positive
70,great sound small package easy set fun,7,0.8834,Positive
71,work sound great,3,0.6249,Positive
72,sound amazing collection music,4,0.5859,Positive
73,setting,1,0.0,Neutral
74,doesnt listen,2,0.0,Neutral
75,awesome,1,0.6249,Positive
76,bought control fios television work hoping time control fios discovered thing alexa play music great sound alexa play game play radio station play time radio program long ranger alexa apps add ability day played madlibs great fun alexa control household appliance purchased alexa compatible power strip control lighting fan tv component forward implementing controll add alexa component chosen music play room component located,63,0.9839,Positive
77,speaker excellent sound work perfectly,5,0.836,Positive
78,,0,0.0,Neutral
79,love,1,0.6369,Positive
80,little nervous received echo tech savvy bit intimidating didnt long figure happy purchase thinking adding echo spot,17,-0.7721,Negative
81,learning,1,0.0,Neutral
82,great technology cant speaker volume quality wonderful bought,8,0.8316,Positive
83,purchased echo dot husband father day constantly hearing quality sound echo generation no brainer best gift,16,0.7096,Positive
84,work fine,2,0.2023,Positive
85,,0,0.0,Neutral
86,clear music,2,0.3818,Positive
87,fun good sound quality,4,0.7351,Positive
88,echo work sync amazon music device,6,0.1779,Positive
89,work great dont amazon charge cent unlimited music prime buy echo,11,0.5547,Positive
90,echo dot echo better fuller sound setup phone call contact list great,12,0.7906,Positive
91,speaker sound good,3,0.4404,Positive
92,good sound work,3,0.4404,Positive
93,love alexa savvy support helpful patient,6,0.8658,Positive
94,love thinking prime day discount offered pas fun alexa play song group playlist amazon prime music connect i phone bluetooth play music pandora youtube video alexa speaker ive fun alexa type question weather news time country downside limited data wifi plan alexa burn playing music,45,0.9349,Positive
95,lot,1,0.0,Neutral
96,love strictly music great,4,0.8519,Positive
97,love echo love size material speaker quality hooked light easily work additional light thermostat echo dot bedroom lot echo traffic weather trivia,22,0.8957,Positive
98,love,1,0.6369,Positive
99,entire family love alexa echo family,6,0.6369,Positive
100,great fun function product wow family fun homework help talking grandchildren who echo huge bonus cant wait learn,18,0.9719,Positive
101,love,1,0.6369,Positive
102,awesome thing love alexa,4,0.8519,Positive
103,worked exactly expected speaker great sound perfect classroom,8,0.8316,Positive
104,love love little gadget life easier personal secretary living cd alexa play going alexa dot room,16,0.9237,Positive
105,speaker surprising quality happy purchase,5,0.7003,Positive
106,easy set work wonderful love,5,0.8957,Positive
107,impressed sound quality playing music device bass sound coming bigger speaker prop amazon,13,0.6808,Positive
108,great product but sound quality worse dont wrong definitely hour definitely feel echo gen sound quality better besides great with addition play bluetooth wifi better,25,0.9247,Positive
109,outlet work disappointed,3,-0.4767,Negative
110,great device responsive helpful,4,0.8555,Positive
111,sound terrible good music bose,5,-0.0516,Negative
112,sound troubling paid extra money access song doesnt work alexa play italian song dont understand play opera tosca response dont,20,-0.763,Negative
113,easy set bad plugged nice operate battery recharged,8,0.296,Positive
114,learning way real hit grandkids play music dance yr cute,10,0.6597,Positive
115,star generally product great playing music setting timer making call reason didnt rate connection dy echo stop playing music red ring connection issue great product,25,0.8625,Positive
116,work great upgraded echo dot full size echo happier,9,0.8176,Positive
117,alexa,1,0.0,Neutral
118,upgraded li lttle echo dot happy sound,7,0.5719,Positive
119,excellent product set ease,4,0.7351,Positive
120,ive gen echo worked purchased gen prime day happy improved speaker enhanced sound music,14,0.7783,Positive
121,love echo smart speaker love volume clarity easy set wonderful gift age,12,0.9729,Positive
122,wonderful product fast delivery,4,0.5719,Positive
123,initially harder set called tech knowledgeable working great,8,0.6249,Positive
124,easy set family love,4,0.7964,Positive
125,great sound responsive voice command,5,0.765,Positive
126,live long echo enjoy music style alexa going upg reade wireless love echo love alexa,15,0.9118,Positive
127,cool product speaker sound good spot if y blasting,9,0.6369,Positive
128,fun alexa love listen music room busy,7,0.8176,Positive
129,nice item pick voice understands problem day asked turn music room heard fine ive listen music check weather thing,19,0.2263,Positive
130,love echo,2,0.6369,Positive
131,love its he helpful remembering thing sleep week learning,9,0.7906,Positive
132,better st gen ring top volume control quicker easier grab top twist button find press time bass bit better great device happy,22,0.9584,Positive
133,love alexa,2,0.6369,Positive
134,,0,0.0,Neutral
